idrbd,nom_rbd,cod_reg_rbd,cod_pro_rbd,cod_com_rbd,nom_com_rbd,cod_deprov_rbd,nom_deprov_rbd,rural_rbd,efectivr,superar,iniciar,mejorar,integrar,igualdr,cluster,indicer,sel2016_25,sel2016_35,sel
1181,ESCUELA BASICA LOS ANGELES,5,54,5402,CABILDO,51,QUILLOTA,2,37.398763,46.412233,0,74.074074,0,96.78626,521,49.607426,2,2,3
1182,ESCUELA BASICA G-47,5,54,5402,CABILDO,51,QUILLOTA,2,53.989968,47.779316,69.477778,81.481481,50.75,96.361131,522,62.889742,2,2,3
1183,LICEO DE ZAPALLAR,5,54,5405,ZAPALLAR,51,QUILLOTA,1,67.43569599999999,49.621471,100,74.074074,95.833333,95.374939,533,72.100854,1,2,1
1184,ESCUELA BASICA MERCEDES MATURANA GALLARDO,5,54,5405,ZAPALLAR,51,QUILLOTA,1,63.700857,43.128617,97.48,92.59259299999999,73.75,97.920562,512,68.57600600000001,2,1,2
1185,ESCUELA BALNEARIO CACHAGUA,5,54,5405,ZAPALLAR,51,QUILLOTA,1,60.798689,38.165435,95.09999999999999,92.59259299999999,71.166667,96.234287,512,65.469565,2,2,3
1189,ESCUELA BASICA AURELIO DURAN ALMENDRO,5,54,5405,ZAPALLAR,51,QUILLOTA,2,70.442717,66.863873,94.59999999999999,92.59259299999999,39.416667,97.019227,521,75.62860499999999,1,2,1
1190,COLEGIO PARROQUIAL FRANCISCO DIDIER,5,54,5405,ZAPALLAR,51,QUILLOTA,1,73.71389600000001,52.828989,87.53,92.59259299999999,45.5,96.910304,532,72.76517699999999,1,2,1
1191,ESCUELA PAPUDO,5,54,5403,PAPUDO,51,QUILLOTA,1,53.806044,46.326806,85.8,55.555556,87.333333,97.599589,512,64.977429,2,2,3
1192,ESCUELA RURAL PULLALLY,5,54,5403,PAPUDO,51,QUILLOTA,2,59.296377,35.708053,81.17,74.074074,82.166667,97.176517,521,63.776763,2,2,3
1194,LICEO MAXIMILIANO SALAS MARCHAN,5,53,5301,LOS ANDES,52,LOS ANDES,1,64.021883,44.589794,83.23,92.59259299999999,63.5,96.441731,532,67.411072,2,2,3
1195,LICEO COMERCIAL DE LOS ANDES,5,53,5301,LOS ANDES,52,LOS ANDES,1,58.662874,31.453075,86.02727299999999,92.59259299999999,92.25,95.928629,533,63.242411,2,2,3
1196,LICEO TECNICO AMANCAY,5,53,5301,LOS ANDES,52,LOS ANDES,1,45.956512,37.832768,79.581818,92.59259299999999,57.916667,94.167495,533,57.836527,2,2,3
1197,ESCUELA ESPANA,5,53,5301,LOS ANDES,52,LOS ANDES,1,58.559611,47.022582,96.2,92.59259299999999,62,96.39271700000001,512,66.763629,2,2,3
1198,LICEO REPUBLICA ARGENTINA,5,53,5301,LOS ANDES,52,LOS ANDES,1,49.878642,49.497528,83.09999999999999,74.074074,50.75,93.355102,533,61.857509,2,2,3
1199,LICEO DE HOMBRES AMERICA,5,53,5301,LOS ANDES,52,LOS ANDES,1,44.148392,45.69892,81.8,92.59259299999999,49.083333,93.515732,533,58.918082,2,2,3
1200,ESCUELA JOHN KENNEDY,5,53,5301,LOS ANDES,52,LOS ANDES,1,55.525271,46.375897,84.83,92.59259299999999,68.083333,96.651251,513,65.138695,2,2,3
1201,ESCUELA ESPECIAL VALLE ANDINO,5,53,5301,LOS ANDES,52,LOS ANDES,1,,,88.75,92.59259299999999,90,98.09200300000001,551,95.020264,1,2,1
1202,ESCUELA BASICA F-128,5,53,5301,LOS ANDES,52,LOS ANDES,1,49.731407,45.132946,68.27,92.59259299999999,41.833333,96.693056,512,60.350036,2,2,3
1203,ESCUELA GABRIELA MISTRAL,5,53,5301,LOS ANDES,52,LOS ANDES,1,55.250254,52.903248,87.43000000000001,92.59259299999999,64.083333,96.786969,513,66.850455,1,2,1
1204,ESCUELA BASICA GRAL.JOSE MIGUEL CARRERA,5,53,5301,LOS ANDES,52,LOS ANDES,1,55.901928,50.692867,88.59999999999999,92.59259299999999,37.75,95.338613,513,64.907563,2,2,3
1206,C.E.I.A DR. OSVALDO ROJAS GONZALEZ,5,53,5301,LOS ANDES,52,LOS ANDES,1,54.990372,46.723495,0,91.887125,0,92.219082,533,55.554957,2,2,3
1208,ESCUELA BASICA RIO BLANCO,5,53,5301,LOS ANDES,52,LOS ANDES,2,61.861816,48.144749,88.93000000000001,92.59259299999999,55.083333,97.44419600000001,521,67.748943,2,2,3
1210,ESCUELA EL SAUCE,5,53,5301,LOS ANDES,52,LOS ANDES,1,61.266637,46.14863,100,100,82.166667,98.200259,512,69.302662,1,2,1
1211,ESCUELA IGNACIO CARRERA PINTO,5,53,5301,LOS ANDES,52,LOS ANDES,1,55.077177,40.380459,94.84999999999999,92.59259299999999,89.333333,95.933357,512,64.799941,2,2,3
1212,ESCUELA JUAN GOMEZ MILLAS,5,57,5701,SAN FELIPE,52,LOS ANDES,2,45.569585,45.525251,89.944444,92.59259299999999,59.4,96.98223,522,61.162426,2,2,3
